combo,size,n_old,n_new,models,dataset,split_mode,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
combo_size3_o2n1_Ounder_Ohybrid_Nhybrid,3,2,1,"old_under,old_hybrid,new_hybrid",stock_spx,chronological,0.5642336552063473,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ounder_Nunder_Nover,3,1,2,"old_under,new_under,new_over",stock_spx,chronological,0.5596977058859708,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ounder_Nunder_Nhybrid,3,1,2,"old_under,new_under,new_hybrid",stock_spx,chronological,0.5600974844701396,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ounder_Nover_Nhybrid,3,1,2,"old_under,new_over,new_hybrid",stock_spx,chronological,0.5604050064579618,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Oover_Ohybrid_Nunder,3,2,1,"old_over,old_hybrid,new_under",stock_spx,chronological,0.555822928839412,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Oover_Ohybrid_Nover,3,2,1,"old_over,old_hybrid,new_over",stock_spx,chronological,0.5556768558951966,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Oover_Ohybrid_Nhybrid,3,2,1,"old_over,old_hybrid,new_hybrid",stock_spx,chronological,0.5562995879205364,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Oover_Nunder_Nover,3,1,2,"old_over,new_under,new_over",stock_spx,chronological,0.5356187342394981,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Oover_Nunder_Nhybrid,3,1,2,"old_over,new_under,new_hybrid",stock_spx,chronological,0.5358878159788425,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Oover_Nover_Nhybrid,3,1,2,"old_over,new_over,new_hybrid",stock_spx,chronological,0.5362491543145335,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ohybrid_Nunder_Nover,3,1,2,"old_hybrid,new_under,new_over",stock_spx,chronological,0.542384217971585,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ohybrid_Nunder_Nhybrid,3,1,2,"old_hybrid,new_under,new_hybrid",stock_spx,chronological,0.5437526908173934,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ohybrid_Nover_Nhybrid,3,1,2,"old_hybrid,new_over,new_hybrid",stock_spx,chronological,0.5432683436865736,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nunder,4,3,1,"old_under,old_over,old_hybrid,new_under",stock_spx,chronological,0.5655175595055046,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nover,4,3,1,"old_under,old_over,old_hybrid,new_over",stock_spx,chronological,0.5655021834061136,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nhybrid,4,3,1,"old_under,old_over,old_hybrid,new_hybrid",stock_spx,chronological,0.5656713204994156,0.0,0.0,0.0,0.0,0.0,1.0
