split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_6+10,Old,undersampling,0.662506,0.113677,0.456715,0.222997,0.076281,0.064610,0.777003,0.814678,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_6+10,Old,oversampling,0.647668,0.073117,0.527421,0.344948,0.040892,0.193581,0.655052,0.782096,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_6+10,Old,hybrid,0.688427,0.080605,0.527968,0.334495,0.045823,0.166653,0.665505,0.790755,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_6+10,New,none,0.884815,0.322880,0.683196,0.484321,0.242160,0.036265,0.515679,0.889711,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_6+10,New,undersampling,0.887731,0.288372,0.715241,0.540070,0.196701,0.052772,0.459930,0.885920,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_6+10,New,oversampling,0.849509,0.187359,0.717492,0.578397,0.111785,0.109962,0.421603,0.849474,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_6+10,New,hybrid,0.872829,0.234686,0.715558,0.554007,0.148876,0.075782,0.445993,0.858200,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 1000, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_7+9,Old,none,0.710509,0.106667,0.502411,0.278746,0.065952,0.094456,0.721254,0.825375,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_7+9,Old,undersampling,0.717058,0.107649,0.491579,0.264808,0.067556,0.087453,0.735192,0.826616,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_7+9,Old,oversampling,0.663981,0.086866,0.502041,0.289199,0.051108,0.128470,0.710801,0.772867,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
