dataset,ensemble,type,subset,subset_indices,AUC
O6 + N10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8342
O6 + N10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8336
O6 + N10,4models,k_subsets_mean,,,0.8000
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7825
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8036
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7840
O6 + N10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8264
O6 + N10,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8257
O6 + N10,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8191
O6 + N10,5models,k_subsets_mean,,,0.8069
O6 + N10,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8117
O6 + N10,6models,k_subsets_mean,,,0.8117
O6 + N10,New,under,,,0.8338
O6 + N10,New,over,,,0.7900
O6 + N10,New,hybrid,,,0.8339
O6 + N10,Old,under,,,0.6000
O6 + N10,Old,over,,,0.6048
O6 + N10,Old,hybrid,,,0.6468
O6 + N10,OldNew,under,,,0.8005
O6 + N10,OldNew,over,,,0.7562
O6 + N10,OldNew,hybrid,,,0.7987
O8 + N8,2models,k_subset,Old_under+New_under,"0,3",0.8252
O8 + N8,2models,k_subset,Old_under+New_over,"0,4",0.7962
O8 + N8,2models,k_subset,Old_under+New_hybrid,"0,5",0.8250
O8 + N8,2models,k_subset,Old_over+New_under,"1,3",0.8121
O8 + N8,2models,k_subset,Old_over+New_over,"1,4",0.7708
O8 + N8,2models,k_subset,Old_over+New_hybrid,"1,5",0.7934
O8 + N8,2models,k_subset,Old_hybrid+New_under,"2,3",0.8166
O8 + N8,2models,k_subset,Old_hybrid+New_over,"2,4",0.7819
O8 + N8,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8041
O8 + N8,2models,k_subsets_mean,,,0.8028
O8 + N8,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7934
O8 + N8,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7646
O8 + N8,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7918
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7992
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7733
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7982
O8 + N8,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8401
O8 + N8,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8535
O8 + N8,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8343
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7853
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7561
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7769
O8 + N8,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8246
O8 + N8,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8367
O8 + N8,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8100
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8285
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8401
O8 + N8,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8172
O8 + N8,3models,k_subsets_mean,,,0.8069
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7748
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7517
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7741
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8171
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8311
O8 + N8,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8120
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8203
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8335
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8160
O8 + N8,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8525
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8069
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8187
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7980
O8 + N8,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8372
O8 + N8,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8407
O8 + N8,4models,k_subsets_mean,,,0.8123
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.8007
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8135
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7972
O8 + N8,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8356
O8 + N8,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8378
O8 + N8,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8249
O8 + N8,5models,k_subsets_mean,,,0.8183
O8 + N8,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8223
O8 + N8,6models,k_subsets_mean,,,0.8223
O8 + N8,New,under,,,0.8554
O8 + N8,New,over,,,0.8109
O8 + N8,New,hybrid,,,0.8289
O8 + N8,Old,under,,,0.6495
O8 + N8,Old,over,,,0.6254
O8 + N8,Old,hybrid,,,0.6777
