dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7282,0.0940,0.3798
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7613,0.1001,0.2997
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8008,0.1599,0.4739
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8239,0.1615,0.5889
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8014,0.1512,0.5296
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8008,0.1601,0.4739
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8225,0.1775,0.4321
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8011,0.1460,0.5366
O6 + N10,split_6+10,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8395,0.2217,0.4843
O6 + N10,split_6+10,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.7935,0.1458,0.4913
O6 + N10,split_6+10,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8153,0.1593,0.5401
O6 + N10,split_6+10,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7900,0.1428,0.5296
O6 + N10,split_6+10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8342,0.2032,0.4634
O6 + N10,split_6+10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8336,0.2066,0.4564
O6 + N10,split_6+10,4models,k_subsets_mean,,,0.8000,0.1559,0.4711
O6 + N10,split_6+10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7825,0.1389,0.4355
O6 + N10,split_6+10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8036,0.1364,0.5331
O6 + N10,split_6+10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7840,0.1291,0.5192
O6 + N10,split_6+10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8264,0.1869,0.5052
O6 + N10,split_6+10,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8257,0.1908,0.5261
O6 + N10,split_6+10,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8191,0.1739,0.4948
O6 + N10,split_6+10,5models,k_subsets_mean,,,0.8069,0.1593,0.5023
O6 + N10,split_6+10,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8117,0.1596,0.4948
O6 + N10,split_6+10,6models,k_subsets_mean,,,0.8117,0.1596,0.4948
O8 + N8,split_8+8,Old,under,,,0.6495,0.0988,0.2300
O8 + N8,split_8+8,New,under,,,0.8554,0.2632,0.4425
O8 + N8,split_8+8,OldNew,under,,,0.8252,0.2214,0.4425
O8 + N8,split_8+8,Old,over,,,0.6254,0.0715,0.1882
O8 + N8,split_8+8,New,over,,,0.8109,0.1875,0.4739
O8 + N8,split_8+8,OldNew,over,,,0.7708,0.1458,0.3310
O8 + N8,split_8+8,Old,hybrid,,,0.6777,0.0905,0.2753
O8 + N8,split_8+8,New,hybrid,,,0.8289,0.2261,0.4495
O8 + N8,split_8+8,OldNew,hybrid,,,0.8041,0.1721,0.4495
O8 + N8,split_8+8,2models,k_subset,Old_under+New_under,"0,3",0.8252,0.2214,0.4425
O8 + N8,split_8+8,2models,k_subset,Old_under+New_over,"0,4",0.7962,0.1764,0.3728
O8 + N8,split_8+8,2models,k_subset,Old_under+New_hybrid,"0,5",0.8250,0.1997,0.5296
O8 + N8,split_8+8,2models,k_subset,Old_over+New_under,"1,3",0.8121,0.2131,0.3972
O8 + N8,split_8+8,2models,k_subset,Old_over+New_over,"1,4",0.7708,0.1458,0.3310
O8 + N8,split_8+8,2models,k_subset,Old_over+New_hybrid,"1,5",0.7934,0.1698,0.4460
O8 + N8,split_8+8,2models,k_subset,Old_hybrid+New_under,"2,3",0.8166,0.1971,0.3554
O8 + N8,split_8+8,2models,k_subset,Old_hybrid+New_over,"2,4",0.7819,0.1505,0.3833
O8 + N8,split_8+8,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8041,0.1721,0.4495
O8 + N8,split_8+8,2models,k_subsets_mean,,,0.8028,0.1829,0.4119
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7934,0.1682,0.2544
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7646,0.1266,0.4425
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7918,0.1534,0.2787
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7992,0.1610,0.3728
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7733,0.1384,0.3902
O8 + N8,split_8+8,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7982,0.1644,0.4007
O8 + N8,split_8+8,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8401,0.2206,0.5122
O8 + N8,split_8+8,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8535,0.2779,0.4077
O8 + N8,split_8+8,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8343,0.2189,0.4286
O8 + N8,split_8+8,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7853,0.1440,0.2822
O8 + N8,split_8+8,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7561,0.1219,0.3031
O8 + N8,split_8+8,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7769,0.1345,0.3136
O8 + N8,split_8+8,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8246,0.2263,0.3693
O8 + N8,split_8+8,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8367,0.2602,0.3763
O8 + N8,split_8+8,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8100,0.1978,0.4355
O8 + N8,split_8+8,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8285,0.2086,0.4460
