dataset,ensemble,type,subset,subset_indices,Recall
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5122
O3 + N13,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.3868
O3 + N13,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4321
O3 + N13,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4355
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4111
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4564
O3 + N13,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4425
O3 + N13,3models,k_subsets_mean,,,0.4334
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4425
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4495
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5261
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.3833
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4425
O3 + N13,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4634
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4042
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4077
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4111
O3 + N13,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.5505
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.3972
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4599
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4216
O3 + N13,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4983
O3 + N13,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4460
O3 + N13,4models,k_subsets_mean,,,0.4469
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3868
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4216
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4564
O3 + N13,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.4390
O3 + N13,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4321
O3 + N13,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4564
O3 + N13,5models,k_subsets_mean,,,0.4321
O3 + N13,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4530
O3 + N13,6models,k_subsets_mean,,,0.4530
O3 + N13,New,under,,,0.5575
O3 + N13,New,over,,,0.4948
O3 + N13,New,hybrid,,,0.5854
O3 + N13,Old,under,,,0.1986
O3 + N13,Old,over,,,0.3066
O3 + N13,Old,hybrid,,,0.3206
O3 + N13,OldNew,under,,,0.4251
O3 + N13,OldNew,over,,,0.4460
O3 + N13,OldNew,hybrid,,,0.5157
O4 + N12,2models,k_subset,Old_under+New_under,"0,3",0.4495
O4 + N12,2models,k_subset,Old_under+New_over,"0,4",0.4808
O4 + N12,2models,k_subset,Old_under+New_hybrid,"0,5",0.5261
O4 + N12,2models,k_subset,Old_over+New_under,"1,3",0.4564
O4 + N12,2models,k_subset,Old_over+New_over,"1,4",0.5714
O4 + N12,2models,k_subset,Old_over+New_hybrid,"1,5",0.5401
O4 + N12,2models,k_subset,Old_hybrid+New_under,"2,3",0.4704
O4 + N12,2models,k_subset,Old_hybrid+New_over,"2,4",0.4251
O4 + N12,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4564
O4 + N12,2models,k_subsets_mean,,,0.4863
O4 + N12,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4774
O4 + N12,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4042
O4 + N12,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.5540
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4843
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3937
