split,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.55000000,0.45000000,0.29000000,0.66665901,0.73244543,0.22650231,0.10534180,0.58947656,0.63180300,0.43362832,0.49128920,0.15328467,0.05899582,0.19866253,0.18749479,0.56637168,0.50871080
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.50000000,0.50000000,0.30000000,0.67290469,0.74246819,0.23465140,0.11064157,0.59793977,0.64100622,0.44346116,0.50174216,0.15953307,0.06217617,0.19376937,0.18107545,0.55653884,0.49825784
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.45000000,0.55000000,0.32000000,0.67838809,0.75129184,0.24212545,0.11788784,0.59742685,0.64620558,0.43461160,0.50174216,0.16780562,0.06679035,0.17876366,0.16773656,0.56538840,0.49825784
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.40000000,0.60000000,0.36000000,0.68304690,0.75911944,0.25039321,0.12077295,0.57883354,0.61264824,0.39134710,0.43554007,0.18408881,0.07010656,0.14385908,0.13822426,0.60865290,0.56445993
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.35000000,0.65000000,0.37000000,0.68701284,0.76593964,0.25736926,0.12992126,0.58551236,0.63093759,0.39921337,0.45993031,0.18989710,0.07564470,0.14124939,0.13447270,0.60078663,0.54006969
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.30000000,0.70000000,0.39000000,0.69030165,0.77182914,0.25894040,0.14038764,0.57785922,0.63951493,0.38446411,0.46689895,0.19520719,0.08261406,0.13146306,0.12405169,0.61553589,0.53310105
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.25000000,0.75000000,0.38000000,0.69295849,0.77688845,0.25923645,0.13636364,0.59401801,0.65124370,0.41396264,0.49128920,0.18870462,0.07916901,0.14761050,0.13672363,0.58603736,0.50871080
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.20000000,0.80000000,0.44000000,0.69511487,0.78122490,0.26031982,0.15208208,0.55411710,0.62729038,0.34414946,0.43902439,0.20933014,0.09197080,0.10781275,0.10370988,0.65585054,0.56097561
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.15000000,0.85000000,0.46000000,0.69687006,0.78473319,0.26160338,0.16015132,0.54876812,0.63188001,0.33529990,0.44250871,0.21446541,0.09776751,0.10185940,0.09770738,0.66470010,0.55749129
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.10000000,0.90000000,0.42000000,0.69823440,0.78753110,0.26251605,0.14803471,0.58884243,0.66401025,0.40216323,0.50522648,0.19485469,0.08672249,0.13782417,0.12730304,0.59783677,0.49477352
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.05000000,0.95000000,0.52000000,0.69915754,0.78980963,0.26213592,0.17005267,0.51900124,0.60268930,0.29203540,0.39372822,0.23779023,0.10844530,0.07763823,0.07744894,0.70796460,0.60627178
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.00000000,1.00000000,0.50000000,0.69969397,0.79143981,0.26344505,0.16775885,0.54729062,0.63614802,0.33235005,0.44599303,0.21820529,0.10330912,0.09876040,0.09262193,0.66764995,0.55400697
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,1.00000000,0.00000000,0.13000000,0.59210843,0.61155359,0.17274678,0.06456346,0.56252712,0.56498642,0.47492625,0.45993031,0.10557377,0.03471857,0.33371391,0.30596082,0.52507375,0.54006969
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.95000000,0.05000000,0.12000000,0.61198830,0.65591325,0.17975626,0.06662072,0.58006230,0.58315943,0.52212389,0.50522648,0.10856676,0.03566158,0.35557005,0.32688620,0.47787611,0.49477352
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.90000000,0.10000000,0.14000000,0.62534451,0.68244928,0.18726184,0.07144642,0.58546881,0.59147251,0.50737463,0.49825784,0.11481976,0.03848224,0.32441690,0.29787411,0.49262537,0.50174216
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.85000000,0.15000000,0.16000000,0.63606401,0.70258920,0.19239721,0.07792916,0.58550168,0.60305236,0.48770895,0.49825784,0.11983571,0.04227017,0.29709672,0.27011255,0.51229105,0.50174216
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.80000000,0.20000000,0.15000000,0.64529407,0.71898425,0.19882612,0.08449279,0.60310829,0.64198431,0.53294002,0.58188153,0.12220970,0.04555374,0.31748491,0.29170488,0.46705998,0.41811847
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.75000000,0.25000000,0.15000000,0.65335905,0.73297890,0.20604099,0.08839506,0.61718227,0.66131635,0.56342183,0.62369338,0.12607261,0.04756843,0.32392758,0.29879116,0.43657817,0.37630662
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.70000000,0.30000000,0.18000000,0.66067009,0.74537765,0.21168909,0.09574768,0.61076021,0.66298360,0.51819076,0.59233449,0.13301363,0.05208333,0.28013375,0.25794081,0.48180924,0.40766551
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.65000000,0.35000000,0.25000000,0.66722815,0.75647766,0.21776504,0.10825545,0.57483263,0.63074028,0.41101278,0.48432056,0.14812190,0.06093819,0.19605285,0.17857441,0.58898722,0.51567944
split_3+13,2002,1999-2001,2002-2014,no_fs,19,19,,0.60000000,0.40000000,0.25000000,0.67316747,0.76640470,0.22760041,0.11201236,0.59047476,0.64371901,0.43461160,0.50522648,0.15416812,0.06298871,0.19776545,0.17982493,0.56538840,0.49477352
