split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_4+12,2003,1999-2002,2003-2014,fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.52000000,0.71306009,0.81835463,0.28026534,0.18961938,0.55639393,0.66084816,0.33935743,0.47735192,0.23870056,0.11830743,0.08776358,0.08511880,0.66064257,0.52264808
split_5+11,2004,1999-2003,2004-2014,no_fs,New_under,New_under,1.00000000,0.15000000,0.72033080,0.84010469,0.27418723,0.21156373,0.55957413,0.71466591,0.34687810,0.56097561,0.22668394,0.13036437,0.09731051,0.08953731,0.65312190,0.43902439
split_5+11,2004,1999-2003,2004-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.44000000,0.70588235,0.83611028,0.27128310,0.19240838,0.54780749,0.68226134,0.33002973,0.51219512,0.23029046,0.11845286,0.09070905,0.09120467,0.66997027,0.48780488
split_5+11,2004,1999-2003,2004-2014,no_fs,Equal6,Old3/New3 equal weight,0.50000000,0.33000000,0.68316416,0.79831085,0.24165554,0.14142480,0.55790372,0.63994085,0.35877106,0.46689895,0.18218420,0.08333333,0.13243684,0.12288454,0.64122894,0.53310105
split_5+11,2004,1999-2003,2004-2014,no_fs,ValBestSingle_F1,New_under,,0.15000000,0.72033080,0.84010469,0.27418723,0.21156373,0.55957413,0.71466591,0.34687810,0.56097561,0.22668394,0.13036437,0.09731051,0.08953731,0.65312190,0.43902439
split_5+11,2004,1999-2003,2004-2014,no_fs,ValBestSingle_AUC,New_under,,0.15000000,0.72033080,0.84010469,0.27418723,0.21156373,0.55957413,0.71466591,0.34687810,0.56097561,0.22668394,0.13036437,0.09731051,0.08953731,0.65312190,0.43902439
split_5+11,2004,1999-2003,2004-2014,no_fs,DAWCE_F1,Old3/New3 w_new=0.90,0.90000000,0.43000000,0.70428152,0.83357090,0.27172583,0.19060403,0.54790568,0.67157208,0.33002973,0.49477352,0.23092926,0.11803824,0.09038305,0.08845352,0.66997027,0.50522648
split_5+11,2004,1999-2003,2004-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.44000000,0.70588235,0.83611028,0.27128310,0.19240838,0.54780749,0.68226134,0.33002973,0.51219512,0.23029046,0.11845286,0.09070905,0.09120467,0.66997027,0.48780488
split_5+11,2004,1999-2003,2004-2014,fs,New_under,New_under,1.00000000,0.17000000,0.71686420,0.83244877,0.26681784,0.19289340,0.55967935,0.69239773,0.34985134,0.52961672,0.21563836,0.11792087,0.10464548,0.09478950,0.65014866,0.47038328
split_5+11,2004,1999-2003,2004-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.50000000,0.70857143,0.81587958,0.26957224,0.17859488,0.54808823,0.65605764,0.33102081,0.47386760,0.22736555,0.11003236,0.09250204,0.09170488,0.66897919,0.52613240
