test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version
2012,2013,2011,2012,A_validation_boundary_equal,3513,25,3485,26,0.00746054519369,0.09,0.00692373421043,0.871823394495,0.167663843454,0.242424242424,0.399770576408,0.16,0.5,0.579426605505,0.239801262021,0.00114678899083,0.84,0.44,0.0763888888889,0.038130733945,144,0.89298819134,0.21319942167,0.205128205128,0.391721661767,0.153846153846,0.307692307692,0.57562212289,0.201154992273,0.00260190806592,0.846153846154,0.576923076923,0.0793650793651,0.050303555941,189,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,FullHistory,3513,25,3485,26,0.00746054519369,0.04,0.0113152367994,0.87369266055,0.0663287126653,0.166666666667,0.487010163223,0.24,0.127659574468,0.614122706422,0.158851651728,0.011754587156,0.76,0.36,0.0588235294118,0.0412844036697,153,0.875742210955,0.0643126107722,0.134831460674,0.476409951678,0.230769230769,0.0952380952381,0.607145239843,0.125595899495,0.0164787510841,0.769230769231,0.384615384615,0.059880239521,0.0453888407054,167,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,Recent1y,3513,25,3485,26,0.00746054519369,0.4,0.00840008724481,0.867935779817,0.176616212784,0.214285714286,0.346410161514,0.12,1,0.56,0.213085710795,0,0.88,0.44,0.0753424657534,0.0387041284404,146,0.905475126204,0.15049169125,0,0,0,0,0.499855449552,-0.000552938549387,0.000289100896213,1,0.538461538462,0.0864197530864,0.0427869326395,162,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,Recent5y,3513,25,3485,26,0.00746054519369,0.13,0.0113925961778,0.896823394495,0.138121286052,0.186046511628,0.399196440572,0.16,0.222222222222,0.577993119266,0.18116796196,0.00401376146789,0.84,0.44,0.0696202531646,0.0421444954128,158,0.899159383548,0.164972301394,0.177777777778,0.391380886007,0.153846153846,0.210526315789,0.574754820201,0.172564923606,0.00433651344319,0.846153846154,0.5,0.077380952381,0.044810638913,168,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,Recent3y,3485,26,3484,28,0.00803673938002,0.05,0.00404610531405,0.89504525541,0.269108405828,0.333333333333,0.586730305846,0.346153846154,0.321428571429,0.670330464563,0.328135208371,0.00549291702804,0.653846153846,0.576923076923,0.0920245398773,0.0427869326395,163,0.782469411376,0.0831860311885,0.078431372549,0.266448013036,0.0714285714286,0.0869565217391,0.53267609127,0.0717023061747,0.00607638888889,0.928571428571,0.25,0.046357615894,0.0416666666667,151,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,B_data_equal,3485,26,3484,28,0.00803673938002,0.16,0.0072117689997,0.901772410879,0.198601353254,0.263157894737,0.438085057979,0.192307692308,0.416666666667,0.595141993017,0.259669514286,0.00202370627349,0.807692307692,0.538461538462,0.0864197530864,0.0427869326395,162,0.823815724206,0.0475500880923,0,0,0,0,0.499131944444,-0.00284456484931,0.00173611111111,1,0.25,0.0530303030303,0.0361689814815,132,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,B_model_FIFO3_equal,3485,26,3484,28,0.00803673938002,0.12,0.00918670278043,0.893644227989,0.297711770914,0.363636363636,0.553897794248,0.307692307692,0.444444444444,0.652400649365,0.359728091126,0.00289100896213,0.692307692308,0.538461538462,0.115702479339,0.0309337958948,121,0.855944113757,0.0857760485863,0.111111111111,0.267029143526,0.0714285714286,0.25,0.534846230159,0.107924721547,0.00173611111111,0.928571428571,0.25,0.0642201834862,0.0295138888889,109,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,A_validation_boundary_equal,3485,26,3484,28,0.00803673938002,0.07,0.00914762821048,0.889552338381,0.283134975458,0.333333333333,0.553576507798,0.307692307692,0.363636363636,0.651822447573,0.32874271681,0.00404741254698,0.692307692308,0.653846153846,0.104938271605,0.0419196299509,162,0.828104332011,0.168460344858,0.238095238095,0.422026538039,0.178571428571,0.357142857143,0.587983630952,0.233991095476,0.00260416666667,0.821428571429,0.321428571429,0.0796460176991,0.0300925925926,113,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,FullHistory,3485,26,3484,28,0.00803673938002,0.05,0.0100126722828,0.87946716481,0.10859016929,0.179104477612,0.477947889491,0.230769230769,0.146341463415,0.610325349701,0.171539961014,0.0101185313674,0.769230769231,0.423076923077,0.0639534883721,0.0465452442903,172,0.816416583995,0.109499988709,0.151515151515,0.420554775796,0.178571428571,0.131578947368,0.58451140873,0.143589563507,0.00954861111111,0.821428571429,0.321428571429,0.0542168674699,0.0454282407407,166,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2014,2012,2013,Recent1y,3485,26,3484,28,0.00803673938002,0.24,0.00841955188662,0.887061622968,0.200602985492,0.294117647059,0.438338799708,0.192307692308,0.625,0.59572019481,0.29163067229,0.000867302688638,0.807692307692,0.538461538462,0.109375,0.0329575021683,128,0.788235780423,0.0430763636747,0,0,0,0,0.499565972222,-0.00155792128788,0.000868055555556,1,0.178571428571,0.0561797752809,0.0243055555556,89,42,study3_ab_fair_event_target_v1_financial18_exploratory
