split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_3+5,Old,hybrid,0.646020,0.247989,0.584979,0.476696,0.167586,0.282140,0.523304,0.679362,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 1000, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_3+5,New,none,0.664479,0.256392,0.596220,0.495155,0.172981,0.282085,0.504845,0.665804,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_3+5,New,undersampling,0.667316,0.259442,0.595610,0.485002,0.177085,0.268558,0.514998,0.667158,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_3+5,New,oversampling,0.661237,0.264432,0.564910,0.393170,0.199205,0.188332,0.606830,0.665800,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 1000, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_3+5,New,hybrid,0.655552,0.255906,0.586392,0.462390,0.176907,0.256351,0.537610,0.662619,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+4,Old,none,0.648781,0.255814,0.590795,0.477157,0.174751,0.268503,0.522843,0.682397,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_4+4,Old,undersampling,0.649614,0.250737,0.595527,0.510383,0.166191,0.305125,0.489617,0.681344,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_4+4,Old,oversampling,0.646955,0.247604,0.589287,0.494693,0.165126,0.298031,0.505307,0.676644,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_4+4,Old,hybrid,0.642034,0.251414,0.591721,0.492386,0.168802,0.288904,0.507614,0.674707,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_4+4,New,none,0.666136,0.265394,0.531787,0.327180,0.223237,0.135654,0.672820,0.664692,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+4,New,undersampling,0.667189,0.255348,0.488882,0.264421,0.246876,0.096118,0.735579,0.664473,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
