split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_4+12,4+12,mutual_info_r50,9,Old,under,0.594406,0.081301,0.478555,0.261324,0.048139,0.123635,0.738676
split_4+12,4+12,mutual_info_r50,9,New,under,0.845135,0.211796,0.708851,0.550523,0.131120,0.087286,0.449477
split_4+12,4+12,mutual_info_r50,9,Old,over,0.586934,0.082268,0.476371,0.257840,0.048942,0.119883,0.742160
split_4+12,4+12,mutual_info_r50,9,New,over,0.800466,0.156843,0.682603,0.533101,0.091947,0.125969,0.466899
split_4+12,4+12,mutual_info_r50,9,Old,hybrid,0.591939,0.075163,0.459080,0.240418,0.044545,0.123385,0.759582
split_4+12,4+12,mutual_info_r50,9,New,hybrid,0.828223,0.210526,0.688429,0.515679,0.132261,0.080950,0.484321
split_4+12,4+12,mutual_info_r50,9,Old_3,ensemble,0.602864,0.077160,0.476297,0.261324,0.045263,0.131888,0.738676
split_4+12,4+12,mutual_info_r50,9,New_3,ensemble,0.844058,0.246753,0.661811,0.463415,0.168142,0.054856,0.536585
split_4+12,4+12,mutual_info_r50,9,All_6,ensemble,0.797104,0.146776,0.582882,0.372822,0.091375,0.088704,0.627178
split_4+12,4+12,mutual_info_r50,9,Old_under_New_under,ensemble,0.811815,0.154002,0.679589,0.529617,0.090101,0.127970,0.470383
split_4+12,4+12,mutual_info_r50,9,Old_hybrid_New_hybrid,ensemble,0.773991,0.115442,0.593722,0.407666,0.067241,0.135306,0.592334
split_4+12,4+12,mutual_info_r80,15,Old,under,0.599811,0.072647,0.449330,0.229965,0.043137,0.122051,0.770035
split_4+12,4+12,mutual_info_r80,15,New,under,0.842728,0.194836,0.719774,0.578397,0.117149,0.104293,0.421603
split_4+12,4+12,mutual_info_r80,15,Old,over,0.588052,0.060691,0.438957,0.226481,0.035040,0.149229,0.773519
split_4+12,4+12,mutual_info_r80,15,New,over,0.802316,0.164811,0.676142,0.515679,0.098078,0.113464,0.484321
split_4+12,4+12,mutual_info_r80,15,Old,hybrid,0.610978,0.070161,0.499913,0.303136,0.039672,0.175573,0.696864
split_4+12,4+12,mutual_info_r80,15,New,hybrid,0.844801,0.208696,0.704189,0.543554,0.129139,0.087703,0.456446
split_4+12,4+12,mutual_info_r80,15,Old_3,ensemble,0.613431,0.067770,0.495547,0.299652,0.038205,0.180492,0.700348
split_4+12,4+12,mutual_info_r80,15,New_3,ensemble,0.857127,0.226174,0.713910,0.554007,0.142091,0.080033,0.445993
split_4+12,4+12,mutual_info_r80,15,All_6,ensemble,0.809148,0.146161,0.686818,0.550523,0.084267,0.143143,0.449477
split_4+12,4+12,mutual_info_r80,15,Old_under_New_under,ensemble,0.808324,0.172497,0.668766,0.498258,0.104303,0.102376,0.501742
split_4+12,4+12,mutual_info_r80,15,Old_hybrid_New_hybrid,ensemble,0.796567,0.139983,0.698684,0.581882,0.079562,0.161067,0.418118
split_4+12,4+12,shap_r50,9,Old,under,0.595338,0.067054,0.469548,0.261324,0.038462,0.156315,0.738676
split_4+12,4+12,shap_r50,9,New,under,0.816952,0.177597,0.689985,0.533101,0.106546,0.106961,0.466899
split_4+12,4+12,shap_r50,9,Old,over,0.544158,0.057477,0.405004,0.188153,0.033920,0.128220,0.811847
split_4+12,4+12,shap_r50,9,New,over,0.780630,0.160643,0.696911,0.557491,0.093842,0.128804,0.442509
split_4+12,4+12,shap_r50,9,Old,hybrid,0.562408,0.055441,0.403666,0.188153,0.032511,0.133972,0.811847
split_4+12,4+12,shap_r50,9,New,hybrid,0.820007,0.186107,0.670466,0.494774,0.114609,0.091455,0.505226
split_4+12,4+12,shap_r50,9,Old_3,ensemble,0.576352,0.057715,0.461073,0.261324,0.032439,0.186494,0.738676
split_4+12,4+12,shap_r50,9,New_3,ensemble,0.833009,0.215071,0.665977,0.477352,0.138804,0.070863,0.522648
split_4+12,4+12,shap_r50,9,All_6,ensemble,0.781425,0.117840,0.482516,0.250871,0.077005,0.071947,0.749129
split_4+12,4+12,shap_r50,9,Old_under_New_under,ensemble,0.787158,0.150900,0.635330,0.452962,0.090529,0.108879,0.547038
split_4+12,4+12,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.763117,0.121319,0.637712,0.480836,0.069416,0.154231,0.519164
split_4+12,4+12,shap_r80,15,Old,under,0.557686,0.061341,0.369372,0.149826,0.038565,0.089371,0.850174
split_4+12,4+12,shap_r80,15,New,under,0.840495,0.180564,0.698555,0.547038,0.108127,0.107962,0.452962
split_4+12,4+12,shap_r80,15,Old,over,0.571508,0.057460,0.414068,0.198606,0.033589,0.136724,0.801394
split_4+12,4+12,shap_r80,15,New,over,0.794163,0.147074,0.657889,0.494774,0.086375,0.125219,0.505226
