dataset,ensemble,type,subset,subset_indices,F1
O8 + N8,6models,k_subsets_mean,,,0.1880
O8 + N8,New,under,,,0.2632
O8 + N8,New,over,,,0.1875
O8 + N8,New,hybrid,,,0.2261
O8 + N8,Old,under,,,0.0988
O8 + N8,Old,over,,,0.0715
O8 + N8,Old,hybrid,,,0.0905
O8 + N8,OldNew,under,,,0.2214
O8 + N8,OldNew,over,,,0.1458
O8 + N8,OldNew,hybrid,,,0.1721
O10 + N6,2models,k_subset,Old_under+New_under,"0,3",0.2761
O10 + N6,2models,k_subset,Old_under+New_over,"0,4",0.2058
O10 + N6,2models,k_subset,Old_under+New_hybrid,"0,5",0.1991
O10 + N6,2models,k_subset,Old_over+New_under,"1,3",0.2687
O10 + N6,2models,k_subset,Old_over+New_over,"1,4",0.1643
O10 + N6,2models,k_subset,Old_over+New_hybrid,"1,5",0.1779
O10 + N6,2models,k_subset,Old_hybrid+New_under,"2,3",0.2745
O10 + N6,2models,k_subset,Old_hybrid+New_over,"2,4",0.1787
O10 + N6,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.2107
O10 + N6,2models,k_subsets_mean,,,0.2173
O10 + N6,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1992
O10 + N6,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1674
O10 + N6,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1715
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1927
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1941
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.2089
O10 + N6,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2570
O10 + N6,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2809
O10 + N6,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2277
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.2238
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1657
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1836
O10 + N6,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2530
O10 + N6,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2751
O10 + N6,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.2051
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2810
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2754
O10 + N6,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.2162
O10 + N6,3models,k_subsets_mean,,,0.2210
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1777
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1670
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1663
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.2567
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2646
O10 + N6,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1952
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.2551
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.2576
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1959
O10 + N6,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2596
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.2361
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.2441
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1885
O10 + N6,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2414
O10 + N6,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2778
O10 + N6,4models,k_subsets_mean,,,0.2256
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.2292
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.2281
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.2036
O10 + N6,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.2510
O10 + N6,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2573
