dataset,ensemble,type,subset,subset_indices,Recall
O8 + N8,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4007
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.3763
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5192
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.3902
O8 + N8,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.3972
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4181
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4077
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.3659
O8 + N8,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.3937
O8 + N8,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4251
O8 + N8,4models,k_subsets_mean,,,0.3821
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3902
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4146
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.3972
O8 + N8,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5261
O8 + N8,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4948
O8 + N8,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.3833
O8 + N8,5models,k_subsets_mean,,,0.4344
O8 + N8,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4704
O8 + N8,6models,k_subsets_mean,,,0.4704
O8 + N8,New,under,,,0.4425
O8 + N8,New,over,,,0.4739
O8 + N8,New,hybrid,,,0.4495
O8 + N8,Old,under,,,0.2300
O8 + N8,Old,over,,,0.1882
O8 + N8,Old,hybrid,,,0.2753
O8 + N8,OldNew,under,,,0.4425
O8 + N8,OldNew,over,,,0.3310
O8 + N8,OldNew,hybrid,,,0.4495
O10 + N6,2models,k_subset,Old_under+New_under,"0,3",0.3728
O10 + N6,2models,k_subset,Old_under+New_over,"0,4",0.3206
O10 + N6,2models,k_subset,Old_under+New_hybrid,"0,5",0.4739
O10 + N6,2models,k_subset,Old_over+New_under,"1,3",0.3449
O10 + N6,2models,k_subset,Old_over+New_over,"1,4",0.4042
O10 + N6,2models,k_subset,Old_over+New_hybrid,"1,5",0.5366
O10 + N6,2models,k_subset,Old_hybrid+New_under,"2,3",0.3763
O10 + N6,2models,k_subset,Old_hybrid+New_over,"2,4",0.4390
O10 + N6,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4042
O10 + N6,2models,k_subsets_mean,,,0.4081
O10 + N6,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4495
O10 + N6,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.3484
O10 + N6,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4216
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4808
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3763
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3693
O10 + N6,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.4808
O10 + N6,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.3763
O10 + N6,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.3833
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.3240
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.3449
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.3345
O10 + N6,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.3624
O10 + N6,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4146
O10 + N6,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4216
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4146
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.3206
O10 + N6,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.3624
O10 + N6,3models,k_subsets_mean,,,0.3881
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.3868
