split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_5+11,New,none,0.809840,0.182168,0.669450,0.494774,0.111635,0.094206,0.505226,0.752442,"{""d_block"": 384, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_5+11,New,undersampling,0.795296,0.218333,0.653214,0.456446,0.143483,0.065194,0.543554,0.765285,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_5+11,New,oversampling,0.800809,0.135660,0.702385,0.595819,0.076544,0.171988,0.404181,0.793170,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_5+11,New,hybrid,0.843349,0.202937,0.694880,0.529617,0.125516,0.088287,0.470383,0.813507,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_6+10,Old,none,0.666902,0.079826,0.611114,0.512195,0.043286,0.270863,0.487805,0.679407,"{""d_block"": 384, ""d_embedding"": 8, ""dropout"": 0.0, ""k"": 24, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_6+10,Old,undersampling,0.617839,0.070158,0.461548,0.247387,0.040875,0.138891,0.752613,0.671056,"{""d_block"": 512, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_6+10,Old,oversampling,0.566968,0.057168,0.436109,0.226481,0.032713,0.160233,0.773519,0.722936,"{""d_block"": 512, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_6+10,Old,hybrid,0.584126,0.049231,0.319968,0.111498,0.031589,0.081784,0.888502,0.736885,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_6+10,New,none,0.817378,0.187671,0.660396,0.477352,0.116795,0.086369,0.522648,0.770321,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_6+10,New,undersampling,0.806688,0.234733,0.637006,0.428571,0.161629,0.053189,0.571429,0.763353,"{""d_block"": 384, ""dropout"": 0.0, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_6+10,New,oversampling,0.812515,0.191577,0.613967,0.404181,0.125541,0.067361,0.595819,0.797939,"{""d_block"": 384, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_6+10,New,hybrid,0.848943,0.220566,0.690425,0.515679,0.140284,0.075615,0.484321,0.819741,"{""d_block"": 512, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_7+9,Old,none,0.633452,0.072289,0.465529,0.250871,0.042229,0.136140,0.749129,0.684905,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_7+9,Old,undersampling,0.631286,0.072940,0.550739,0.390244,0.040230,0.222759,0.609756,0.661100,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_7+9,Old,oversampling,0.608214,0.053868,0.380131,0.163763,0.032236,0.117632,0.836237,0.702743,"{""d_block"": 256, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_7+9,Old,hybrid,0.600282,0.056564,0.401313,0.184669,0.033396,0.127887,0.815331,0.738988,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
